Direction,Protocol,Entity,Configuration,Model,Target subject,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro F1,Log loss
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M01,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,19.44809946156973
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M02,0.1276595744680851,0.14893617021276595,0.030434782608695653,0.14893617021276595,0.05054151624548736,19.005771709642808
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M03,0.1337386018237082,0.15602836879432624,0.03160919540229885,0.15602836879432624,0.05256869772998805,22.81791825166078
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M04,0.13677811550151975,0.1595744680851064,0.032188841201716736,0.1595744680851064,0.053571428571428575,19.83691668060257
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M05,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,19.499354458150894
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M06,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,20.930774149048116
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M07,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,20.518625596400796
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M08,0.15501519756838905,0.17375886524822695,0.1668091168091168,0.17375886524822695,0.06922127562696959,19.839147788716943
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M09,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,21.300670756645008
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M10,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,21.19215711957841
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M01,0.5167173252279635,0.43971631205673756,0.4518020069844162,0.43971631205673756,0.4143620007162006,1.3910616034319552
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M02,0.5075987841945289,0.4574468085106383,0.45679233348847753,0.4574468085106383,0.40989090768577857,1.4459961106094181
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M03,0.574468085106383,0.5035460992907802,0.5703703703703703,0.5035460992907802,0.4141148098892675,1.6008907739477298
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M04,0.5805471124620061,0.5106382978723404,0.5423728813559322,0.5106382978723404,0.4362413534088823,1.249706304721142
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M05,0.5927051671732523,0.524822695035461,0.5369589176452704,0.524822695035461,0.4423925215776248,1.7391605045709484
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M06,0.5683890577507599,0.4964539007092199,0.47091893613632746,0.4964539007092199,0.41268994188419456,1.4892399851316318
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M07,0.5501519756838906,0.4751773049645391,0.45900900900900904,0.4751773049645391,0.3962869055668244,1.4475263536913945
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M08,0.5015197568389058,0.46631205673758863,0.4847318248481039,0.46631205673758863,0.36587402169474514,1.6321486054261032
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M09,0.5623100303951368,0.4911347517730496,0.3706219806763285,0.4911347517730496,0.395622746706338,1.442774446008612
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M10,0.5714285714285714,0.50177304964539,0.5386424731182796,0.50177304964539,0.4048710389481925,1.7831999170427686
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M01,0.7112462006079028,0.6666666666666666,0.7158163265306122,0.6666666666666666,0.585459073658789,0.5595617707311343
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M02,0.6930091185410334,0.6418439716312057,0.5489656322989657,0.6418439716312057,0.5741950013421246,0.5848777139915395
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M03,0.6382978723404256,0.6347517730496454,0.5444925095807688,0.6347517730496454,0.5555297960361252,0.7189986930259636
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M04,0.5987841945288754,0.599290780141844,0.5035422717355181,0.599290780141844,0.5102308802308801,0.8084019479059632
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M05,0.6565349544072948,0.6453900709219859,0.7916493704164936,0.6453900709219859,0.5679712759709656,0.6499658064165786
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M06,0.7416413373860182,0.6985815602836879,0.6505608283002587,0.6985815602836879,0.6412348335425259,0.514965309629022
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M07,0.6869300911854104,0.6560283687943262,0.6883485340663001,0.6560283687943262,0.5741063448958187,0.6149943590860698
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M08,0.5896656534954408,0.5620567375886525,0.507308201058201,0.5620567375886525,0.5050588343052097,0.8011403622176335
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M09,0.6960486322188449,0.6613475177304965,0.6633377425044092,0.6613475177304965,0.586947114825837,0.6080530810786382
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M10,0.7142857142857143,0.6666666666666666,0.5559523809523809,0.6666666666666666,0.5837789661319074,0.5307458681062653
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M01,0.2006079027355623,0.23404255319148937,0.09274193548387095,0.23404255319148937,0.12477064220183487,4.91074441968694
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M02,0.3495440729483283,0.3333333333333333,0.2674210839785586,0.3333333333333333,0.24646573506205702,3.3108277994625346
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M03,0.3890577507598784,0.37056737588652483,0.28125,0.37056737588652483,0.2736985236985237,4.412372526572188
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M04,0.23100303951367782,0.26595744680851063,0.26365941078765626,0.26595744680851063,0.14395079903738453,5.419689369699165
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M05,0.2553191489361702,0.2978723404255319,0.13653846153846153,0.2978723404255319,0.1767857142857143,5.040013221462906
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M06,0.2826747720364742,0.299645390070922,0.2760721247563353,0.299645390070922,0.20150728038398658,3.966409541487786
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M07,0.24316109422492402,0.28368794326241137,0.1056201550387597,0.28368794326241137,0.1493734335839599,5.095106815193422
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M08,0.3495440729483283,0.3280141843971631,0.2665432606609077,0.3280141843971631,0.24845061749643346,3.6829732387948138
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M09,0.2917933130699088,0.28191489361702127,0.24683393070489845,0.28191489361702127,0.20310136939321843,3.8382768830738305
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M10,0.25227963525835867,0.2677304964539007,0.2556960500963391,0.2677304964539007,0.1722017910813692,4.001631263372238
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M01,0.5592705167173252,0.4875886524822695,0.5286184210526316,0.4875886524822695,0.46368344400868744,1.3090912323535928
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M02,0.5896656534954408,0.5212765957446809,0.5361842105263158,0.5212765957446809,0.48811220280507017,1.2623196929888267
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M03,0.6443768996960486,0.5851063829787234,0.5730555555555555,0.5851063829787234,0.5297217638864075,1.4016697483484806
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M04,0.6139817629179332,0.5496453900709221,0.5870315581854043,0.5496453900709221,0.48735966760717647,1.0923627473227417
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M05,0.6109422492401215,0.5460992907801419,0.5447619047619048,0.5460992907801419,0.4761261261261261,1.667379073351205
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M06,0.6048632218844985,0.5390070921985816,0.5438095238095239,0.5390070921985816,0.47019901257189395,1.3404382820964411
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M07,0.6261398176291794,0.5638297872340425,0.546078431372549,0.5638297872340425,0.49783764622474297,1.152675513809306
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M08,0.5623100303951368,0.49822695035460995,0.42471401968608674,0.49822695035460995,0.4104468122070521,1.5067503702645928
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M09,0.574468085106383,0.5035460992907802,0.4587813620071685,0.5035460992907802,0.4073749671542437,1.3227069545761594
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M10,0.601823708206687,0.5372340425531915,0.5306186868686869,0.5372340425531915,0.46484307100440764,1.6040271363851646
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M01,0.25227963525835867,0.29432624113475175,0.08577468477569498,0.29432624113475175,0.13269600769600767,6.3502673389979645
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M02,0.3768996960486322,0.3829787234042554,0.27014652014652013,0.3829787234042554,0.24173909067860364,4.719861289621024
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M03,0.4194528875379939,0.40070921985815605,0.2720873114708731,0.40070921985815605,0.2732652725380024,5.140312894410768
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M04,0.3009118541033435,0.32978723404255317,0.2590423263500186,0.32978723404255317,0.1798061244602125,5.123986022529144
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M05,0.3221884498480243,0.3368794326241134,0.25807296088753046,0.3368794326241134,0.20309830654658242,5.503461711095275
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M06,0.43465045592705165,0.40070921985815605,0.2694838056680162,0.40070921985815605,0.2817678297516513,4.388464205925202
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M07,0.5227963525835866,0.45035460992907805,0.28569438111161777,0.45035460992907805,0.3290961098398169,3.836539741789147
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M08,0.23100303951367782,0.2216312056737589,0.21165492522555926,0.2216312056737589,0.14570905757183342,4.82298933738739
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M09,0.17933130699088146,0.19858156028368792,0.21679915828852,0.19858156028368792,0.09905168942983679,4.956325999155143
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Full common configuration,Full common configuration,Logistic regression,M10,0.25835866261398177,0.29609929078014185,0.25158361353533065,0.29609929078014185,0.14167291471415186,6.241472895118442
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M01,0.5258358662613982,0.45035460992907805,0.5212301587301588,0.45035460992907805,0.3570141023870342,1.1549719537467478
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M02,0.5167173252279635,0.46631205673758863,0.42101879601879594,0.46631205673758863,0.4035208828673705,1.143389567683356
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M03,0.46808510638297873,0.37943262411347517,0.4401614913082987,0.37943262411347517,0.37783071533071527,1.1637276808613697
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M04,0.5379939209726444,0.4609929078014184,0.5208508698092031,0.4609929078014184,0.43426668395522405,0.8933093367335222
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M05,0.5227963525835866,0.4432624113475178,0.4835393645617958,0.4432624113475178,0.42732824123801566,0.9424997658492889
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M06,0.547112462006079,0.4716312056737589,0.574071773636991,0.4716312056737589,0.45184788943585624,0.8104782940708178
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M07,0.5440729483282675,0.46808510638297873,0.4264621571358354,0.46808510638297873,0.43007267670339316,0.929238371626566
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M08,0.39209726443769,0.33865248226950356,0.35956868334917114,0.33865248226950356,0.3378742600301701,1.1699608342821861
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M09,0.5896656534954408,0.5230496453900709,0.5128287249564073,0.5230496453900709,0.49428310371649364,0.9258216267810965
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Chest acceleration,Chest acceleration,Logistic regression,M10,0.41033434650455924,0.3138297872340426,0.3756820220667592,0.3138297872340426,0.28901547712693226,1.066589400098693
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M01,0.601823708206687,0.599290780141844,0.4824727481353987,0.599290780141844,0.4963689045732389,0.682436103001
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M02,0.7142857142857143,0.6684397163120567,0.6532645666962437,0.6684397163120567,0.6113875848195093,0.5503868198729449
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M03,0.6352583586626139,0.6312056737588653,0.5275713484046817,0.6312056737588653,0.5455067360398473,0.7268709442237277
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M04,0.5562310030395137,0.5744680851063829,0.6293478755190006,0.5744680851063829,0.47137340848977677,0.9052033111388438
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M05,0.5987841945288754,0.6134751773049645,0.677183821790683,0.6134751773049645,0.5201391796344849,0.7904939167586409
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M06,0.6595744680851063,0.6560283687943262,0.716679784861603,0.6560283687943262,0.5936392515776817,0.6708953788226208
