Direction,Protocol,Entity,Configuration,Model,Feature count,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro F1,Log loss,Inference ms per 1000 windows
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Chest and ankle acceleration,Chest and ankle acceleration,XGBoost,24,0.5006134969325153,0.5175214104813919,0.4235190080787903,0.5175214104813919,0.4523059961333478,1.4135186242185953,2.959600002213847
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Full common configuration,Full common configuration,XGBoost,36,0.507361963190184,0.524101388262895,0.47269471623140075,0.524101388262895,0.44136082639406987,1.5557702510874853,3.262000005634036
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,XGBoost,24,0.4611963190184049,0.494056763579811,0.43206547602441714,0.494056763579811,0.41923699898001415,2.096159959105706,2.977600001031533
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,XGBoost,12,0.4588957055214724,0.49304720316217415,0.4006155349761928,0.49304720316217415,0.3877387609583254,1.7402356945165607,2.8080999982194044
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,Chest acceleration,Chest acceleration,XGBoost,12,0.4610429447852761,0.47262654481249133,0.35806353229480753,0.47262654481249133,0.38491274238526874,1.6994750499945779,2.8381000010995194
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Full common configuration,Full common configuration,XGBoost,36,0.6311349693251533,0.6258992136740539,0.6296184414226057,0.6258992136740539,0.5986007182371289,1.2828082215556706,3.442399996856693
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Chest acceleration,Chest acceleration,XGBoost,12,0.5886503067484663,0.5925561972737229,0.5935889142068518,0.5925561972737229,0.5911699362667308,1.365194288124849,2.9503999976441264
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,XGBoost,24,0.6312883435582822,0.6258991679112462,0.571051691804836,0.6258991679112462,0.5885792341495472,1.5244358430402052,3.453699995588977
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Chest and ankle acceleration,Chest and ankle acceleration,XGBoost,24,0.594478527607362,0.5931647945252384,0.614653626955654,0.5931647945252384,0.5572593054010043,1.2364667650180152,3.4142000004067086
MHEALTH -> PAMAP2-6g,Magnitude only - raw,Ankle acceleration,Ankle acceleration,XGBoost,12,0.6023006134969325,0.5995191346457515,0.7062378182796759,0.5995191346457515,0.531374403800905,1.4254819472958367,3.384299998288043
